trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,3,0,,,,catch,0,0,,0,0,17.96,,
2,1,True,0,15,0,3,1,,,,catch,0,0,,0,0,3.94,,
3,1,True,1,15,1,27,1,,,,catch,0,0,,0,0,40.49,,
4,1,True,0,14,0,35,1,,,,catch,0,0,,0,0,2.33,,
5,1,True,0,14,1,13,0,,,,catch,0,0,,0,0,5.79,,
6,1,True,1,15,1,19,1,,,,catch,0,0,,0,0,2.35,,
7,1,True,0,15,0,29,1,,,,catch,0,0,,0,0,1.45,,
8,1,True,0,14,0,26,1,,,,catch,0,0,,0,0,1.43,,
9,1,True,1,14,1,34,1,,,,catch,0,0,,0,0,3.79,,
10,1,True,1,13,1,20,1,,,,catch,0,0,,0,0,2.4,,
11,1,True,1,13,1,10,1,,,,catch,0,0,,0,0,39.16,,
12,1,True,1,12,1,6,1,,,,catch,0,0,,0,0,1.93,,
13,1,True,1,12,1,21,1,,,,catch,0,0,,0,0,1.25,,
14,1,True,0,11,0,22,1,,,,catch,0,0,,0,0,8.21,,
15,1,True,1,11,1,20,1,,,,catch,0,0,,0,0,2.15,,
16,1,True,0,10,0,19,1,,,,catch,0,0,,0,0,6.92,,
17,1,True,0,10,0,37,1,,,,catch,0,0,,0,0,1.88,,
18,1,True,1,9,1,21,1,,,,catch,0,0,,0,0,1.38,,
19,1,True,1,9,0,5,0,,,,catch,0,0,,0,0,3.31,,
20,1,True,0,10,1,14,0,,,,catch,0,0,,0,0,2.36,,
21,1,True,1,11,1,3,1,,,,catch,0,0,,0,0,1.93,,
22,1,True,0,11,0,17,1,,,,catch,0,0,,0,0,2.25,,
23,1,True,0,10,0,22,1,,,,catch,0,0,,0,0,90.58,,
24,1,True,0,10,0,34,1,,,,catch,0,0,,0,0,1.68,,
25,1,True,0,9,0,14,1,,,,catch,0,0,,0,0,1.85,,
26,1,True,1,9,0,23,0,,,,catch,0,0,,0,0,1.4,,
27,1,True,0,10,0,37,1,,,,catch,0,0,,0,0,1.52,,
28,1,True,1,10,1,21,1,,,,catch,0,0,,0,0,1.51,,
29,1,True,0,9,0,45,1,,,,catch,0,0,,0,0,3.23,,
30,1,True,1,9,0,43,0,,,,catch,0,0,,0,0,1.92,,
31,2,True,0,10,0,22,1,,,,catch,0,0,,0,0,1.58,,
32,2,True,0,10,0,22,1,,,,catch,0,0,,0,0,1.33,,
33,2,True,0,9,0,48,1,,,,catch,0,0,,0,0,2.28,,
34,2,True,1,9,1,6,1,,,,catch,0,0,,0,0,1.67,,
35,2,True,1,8,1,23,1,,,,catch,0,0,,0,0,1.29,,
36,2,True,1,8,0,22,0,,,,catch,0,0,,0,0,1.41,,
37,2,True,0,9,1,30,0,,,,catch,0,0,,0,0,3.25,,
38,2,True,1,10,0,17,0,,,,catch,0,0,,0,0,1.84,,
39,2,True,0,11,0,32,1,,,,catch,0,0,,0,0,1.33,,
40,2,True,0,11,0,48,1,,,,catch,0,0,,0,0,3.23,,
41,2,True,0,10,0,35,1,,,,catch,0,0,,0,0,1.69,,
42,2,True,1,10,1,27,1,,,,catch,0,0,,0,0,1.38,,
43,2,True,0,9,0,32,1,,,,catch,0,0,,0,0,1.99,,
44,2,True,0,9,1,22,0,,,,catch,0,0,,0,0,1.58,,
45,2,True,0,10,1,6,0,,,,catch,0,0,,0,0,2.26,,
46,2,True,0,11,0,16,1,,,,catch,0,0,,0,0,3.86,,
47,2,True,1,11,1,12,1,,,,catch,0,0,,0,0,1.75,,
48,2,True,0,10,0,37,1,,,,catch,0,0,,0,0,1.74,,
49,2,True,0,10,1,9,0,,,,catch,0,0,,0,0,1.9,,
50,2,True,1,11,1,30,1,,,,catch,0,0,,0,0,1.83,,
51,2,True,0,11,0,40,1,,,,catch,0,0,,0,0,1.66,,
52,2,True,1,10,0,38,0,,,,catch,0,0,,0,0,1.43,,
53,2,True,1,11,0,37,0,,,,catch,0,0,,0,0,1.24,,
54,2,True,0,12,0,40,1,,,,catch,0,0,,0,0,1.15,,
55,2,True,1,12,1,5,1,,,,catch,0,0,,0,0,2.41,,
56,2,True,1,11,0,40,0,,,,catch,0,0,,0,0,2.12,,
57,2,True,1,12,1,6,1,,,,catch,0,0,,0,0,3.4,,
58,2,True,1,12,0,22,0,,,,catch,0,0,,0,0,1.97,,
59,2,True,1,13,0,10,0,,,,catch,0,0,,0,0,2.53,,
60,2,True,0,14,0,26,1,,,,catch,0,0,,0,0,1.86,,
61,3,True,1,14,0,16,0,,,,catch,0,0,,0,0,1.71,,
62,3,True,0,15,0,24,1,,,,catch,0,0,,0,0,1.56,,
63,3,True,0,15,0,22,1,,,,catch,0,0,,0,0,1.49,,
64,3,True,1,14,1,22,1,,,,catch,0,0,,0,0,1.13,,
65,3,True,1,14,1,9,1,,,,catch,0,0,,0,0,1.36,,
66,3,True,0,13,0,14,1,,,,catch,0,0,,0,0,1.34,,
67,3,True,0,13,0,15,1,,,,catch,0,0,,0,0,1.52,,
68,3,True,0,12,0,25,1,,,,catch,0,0,,0,0,1.93,,
69,3,True,0,12,0,42,1,,,,catch,0,0,,0,0,1.46,,
70,3,True,1,11,1,38,1,,,,catch,0,0,,0,0,1.75,,
71,3,True,0,11,0,17,1,,,,catch,0,0,,0,0,1.23,,
72,3,True,0,10,1,24,0,,,,catch,0,0,,0,0,1.66,,
73,3,True,1,11,1,5,1,,,,catch,0,0,,0,0,2.08,,
74,3,True,0,11,0,5,1,,,,catch,0,0,,0,0,3.13,,
75,3,True,1,10,1,12,1,,,,catch,0,0,,0,0,1.5,,
76,3,True,1,10,1,7,1,,,,catch,0,0,,0,0,1.89,,
