trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,11,0,,,,catch,0,,,,0.92,,
2,1,True,0,15,1,21,0,,,,catch,0,,,,0.15,,
3,2,True,0,15,1,14,0,,,,catch,0,,,,0.15,,
4,2,True,1,15,0,14,0,,,,catch,0,,,,0.53,,
5,3,True,0,15,1,20,0,,,,catch,0,,,,0.15,,
6,3,True,0,15,0,21,1,,,,catch,0,,,,0.4,,
7,4,False,0,15,0,19,1,1,11,0,choice,1,0,1,25,1.35,1.28,2.95
8,4,False,1,15,1,17,1,0,19,0,choice,2,0,1,25,0.57,1.38,3.32
9,4,False,1,15,0,16,0,0,27,0,force,2,0,0,49,0.24,1.09,2.09
10,4,False,1,15,1,12,1,1,28,1,force,1,1,1,49,0.1,0.74,1.74
11,5,False,1,15,1,16,1,1,26,1,choice,2,1,0,40,0.08,0.72,2.3
12,5,False,0,15,1,23,0,1,38,0,force,1,1,1,36,0.08,,
13,5,False,0,15,1,23,0,0,11,1,force,2,1,1,28,0.7,0.84,1.84
14,5,False,1,15,1,9,1,0,25,0,choice,2,0,1,35,0.09,1.08,2.98
15,6,False,0,15,0,14,1,1,16,0,force,2,1,1,34,0.42,0.71,1.72
16,6,False,0,15,1,19,0,1,25,0,force,1,1,1,24,0.49,0.99,1.99
17,6,False,1,15,1,26,1,1,35,1,choice,1,1,0,18,0.33,1.87,3.55
18,6,False,1,15,0,15,0,0,33,0,choice,1,0,1,47,0.71,1.51,3.17
19,7,False,0,15,0,23,1,0,16,1,choice,1,0,1,39,0.66,1.09,2.72
20,7,False,0,15,0,12,1,0,28,1,force,1,0,0,32,0.0,1.25,2.26
21,7,False,0,15,0,6,1,1,10,0,force,1,0,0,31,0.23,2.19,3.19
22,7,False,0,15,0,15,1,0,32,1,choice,2,0,1,36,0.69,1.81,3.44
23,8,False,0,15,0,25,1,0,30,1,choice,2,1,0,37,1.18,1.32,2.89
24,8,False,1,15,0,21,0,1,23,1,force,1,0,0,49,0.27,1.29,2.29
25,8,False,0,15,1,23,0,1,34,0,force,2,0,0,49,0.18,1.42,2.42
26,8,False,1,15,1,25,1,1,29,1,choice,2,1,0,24,0.98,1.1,2.71
27,9,False,1,15,1,34,1,1,38,1,choice,2,1,0,29,0.89,1.32,3.18
28,9,False,1,15,1,20,1,0,15,0,force,1,0,0,41,0.22,1.12,2.13
29,9,False,1,15,1,25,1,1,34,1,force,2,1,1,44,1.69,1.05,2.06
30,9,False,0,15,1,32,0,1,43,0,choice,1,0,1,29,0.95,1.09,2.7
