trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,22,0,,,,catch,0,0,,0,0,2.22,,
2,1,True,0,15,0,25,1,,,,catch,0,0,,0,0,2.34,,
3,1,True,1,15,0,23,0,,,,catch,0,0,,0,0,1.48,,
4,1,True,1,15,0,18,0,,,,catch,0,0,,0,0,2.15,,
5,1,True,1,15,0,13,0,,,,catch,0,0,,0,0,1.7,,
6,1,True,1,15,0,31,0,,,,catch,0,0,,0,0,2.04,,
7,1,True,1,15,0,23,0,,,,catch,0,0,,0,0,1.56,,
8,1,True,1,15,1,21,1,,,,catch,0,0,,0,0,1.55,,
9,1,True,1,15,1,19,1,,,,catch,0,0,,0,0,1.67,,
10,1,True,0,14,0,16,1,,,,catch,0,0,,0,0,1.39,,
11,1,True,0,14,0,16,1,,,,catch,0,0,,0,0,1.36,,
12,1,True,0,13,0,17,1,,,,catch,0,0,,0,0,1.92,,
13,1,True,0,13,1,7,0,,,,catch,0,0,,0,0,1.52,,
14,1,True,1,14,0,16,0,,,,catch,0,0,,0,0,1.31,,
15,1,True,0,15,0,29,1,,,,catch,0,0,,0,0,1.63,,
16,1,True,0,15,0,27,1,,,,catch,0,0,,0,0,1.79,,
17,1,True,1,14,0,24,0,,,,catch,0,0,,0,0,1.46,,
18,1,True,0,15,1,18,0,,,,catch,0,0,,0,0,1.26,,
19,1,True,1,15,0,9,0,,,,catch,0,0,,0,0,1.24,,
20,1,True,1,15,1,20,1,,,,catch,0,0,,0,0,1.17,,
21,1,True,1,15,1,14,1,,,,catch,0,0,,0,0,0.96,,
22,1,True,0,14,0,10,1,,,,catch,0,0,,0,0,1.31,,
23,1,True,1,14,1,7,1,,,,catch,0,0,,0,0,1.22,,
24,1,True,0,13,1,8,0,,,,catch,0,0,,0,0,1.39,,
25,1,True,1,14,1,19,1,,,,catch,0,0,,0,0,1.43,,
26,1,True,0,14,0,9,1,,,,catch,0,0,,0,0,2.14,,
27,1,True,0,13,0,19,1,,,,catch,0,0,,0,0,2.12,,
28,1,True,1,13,0,29,0,,,,catch,0,0,,0,0,1.69,,
29,1,True,1,14,1,17,1,,,,catch,0,0,,0,0,1.47,,
30,1,True,1,14,1,13,1,,,,catch,0,0,,0,0,1.59,,
31,2,True,0,13,0,15,1,,,,catch,0,0,,0,0,1.77,,
32,2,True,1,13,0,23,0,,,,catch,0,0,,0,0,1.43,,
33,2,True,1,14,1,13,1,,,,catch,0,0,,0,0,1.39,,
34,2,True,0,14,0,11,1,,,,catch,0,0,,0,0,1.2,,
35,2,True,0,13,0,19,1,,,,catch,0,0,,0,0,1.23,,
36,2,True,1,13,0,28,0,,,,catch,0,0,,0,0,1.46,,
37,2,True,1,14,1,19,1,,,,catch,0,0,,0,0,1.51,,
38,2,True,0,14,1,19,0,,,,catch,0,0,,0,0,1.33,,
39,2,True,1,15,1,10,1,,,,catch,0,0,,0,0,1.63,,
40,2,True,0,15,0,41,1,,,,catch,0,0,,0,0,1.85,,
41,2,True,0,14,0,38,1,,,,catch,0,0,,0,0,1.86,,
42,2,True,1,14,0,20,0,,,,catch,0,0,,0,0,1.72,,
43,2,True,0,15,0,46,1,,,,catch,0,0,,0,0,1.88,,
44,2,True,0,15,0,48,1,,,,catch,0,0,,0,0,1.58,,
45,2,True,1,14,0,24,0,,,,catch,0,0,,0,0,1.56,,
46,2,True,0,15,0,39,1,,,,catch,0,0,,0,0,1.66,,
47,2,True,0,15,0,34,1,,,,catch,0,0,,0,0,2.08,,
48,2,True,0,14,0,8,1,,,,catch,0,0,,0,0,1.64,,
49,2,True,0,14,0,12,1,,,,catch,0,0,,0,0,1.87,,
50,2,True,1,13,0,27,0,,,,catch,0,0,,0,0,4.28,,
51,2,True,1,14,0,17,0,,,,catch,0,0,,0,0,1.47,,
52,2,True,0,15,0,33,1,,,,catch,0,0,,0,0,2.0,,
53,2,True,1,15,1,18,1,,,,catch,0,0,,0,0,4.43,,
54,2,True,0,14,1,7,0,,,,catch,0,0,,0,0,1.81,,
55,2,True,1,15,1,21,1,,,,catch,0,0,,0,0,1.56,,
56,2,True,0,15,1,38,0,,,,catch,0,0,,0,0,1.72,,
57,2,True,0,15,1,17,0,,,,catch,0,0,,0,0,1.57,,
58,2,True,0,15,1,6,0,,,,catch,0,0,,0,0,1.63,,
59,2,True,0,15,0,15,1,,,,catch,0,0,,0,0,1.83,,
60,2,True,1,15,0,24,0,,,,catch,0,0,,0,0,1.33,,
61,3,True,1,15,1,9,1,,,,catch,0,0,,0,0,2.18,,
62,3,True,0,15,0,8,1,,,,catch,0,0,,0,0,1.5,,
63,3,True,0,14,0,14,1,,,,catch,0,0,,0,0,1.61,,
64,3,True,1,14,1,7,1,,,,catch,0,0,,0,0,1.76,,
65,3,True,1,13,0,19,0,,,,catch,0,0,,0,0,2.29,,
66,3,True,1,14,0,27,0,,,,catch,0,0,,0,0,2.57,,
67,3,True,1,15,1,14,1,,,,catch,0,0,,0,0,1.45,,
68,3,True,1,15,0,10,0,,,,catch,0,0,,0,0,1.91,,
69,3,True,1,15,0,34,0,,,,catch,0,0,,0,0,1.59,,
70,3,True,1,15,1,15,1,,,,catch,0,0,,0,0,2.04,,
71,3,True,0,15,0,8,1,,,,catch,0,0,,0,0,1.37,,
72,3,True,1,14,0,14,0,,,,catch,0,0,,0,0,1.84,,
73,3,True,0,15,1,12,0,,,,catch,0,0,,0,0,1.5,,
74,3,True,0,15,0,9,1,,,,catch,0,0,,0,0,1.37,,
75,3,True,1,15,1,3,1,,,,catch,0,0,,0,0,1.92,,
76,3,True,1,14,1,20,1,,,,catch,0,0,,0,0,1.46,,
77,3,True,0,14,1,7,0,,,,catch,0,0,,0,0,1.65,,
78,3,True,0,15,0,29,1,,,,catch,0,0,,0,0,1.9,,
79,3,True,1,15,0,39,0,,,,catch,0,0,,0,0,1.4,,
80,3,True,0,15,1,22,0,,,,catch,0,0,,0,0,1.76,,
81,3,True,1,15,0,10,0,,,,catch,0,0,,0,0,1.79,,
82,3,True,1,15,1,13,1,,,,catch,0,0,,0,0,1.46,,
83,3,True,1,15,1,15,1,,,,catch,0,0,,0,0,2.65,,
84,3,True,0,14,0,18,1,,,,catch,0,0,,0,0,1.98,,
85,3,True,0,14,1,21,0,,,,catch,0,0,,0,0,2.84,,
86,3,True,1,15,1,34,1,,,,catch,0,0,,0,0,2.25,,
87,3,True,0,15,1,27,0,,,,catch,0,0,,0,0,1.87,,
88,3,True,0,15,1,14,0,,,,catch,0,0,,0,0,2.19,,
89,3,True,0,15,0,16,1,,,,catch,0,0,,0,0,2.23,,
90,3,True,1,15,1,17,1,,,,catch,0,0,,0,0,1.99,,
91,4,False,1,14,1,20,1,1,24,1,choice,1,1,1,1,0,3.7,4.06,6.75
92,4,False,1,14,1,19,1,1,28,1,force,1,0,0,0,0,6.14,1.62,2.63
93,4,False,1,14,1,27,1,1,16,1,force,2,0,0,0,0,1.71,5.53,6.54
94,4,False,1,14,1,23,1,1,23,1,force,1,0,1,1,0,3.7,2.69,3.7
95,4,False,1,14,1,14,1,1,15,1,choice,1,1,1,1,0,2.19,1.88,4.82
96,4,False,0,14,0,41,1,0,43,1,choice,1,2,0,1,0,1.76,2.61,5.38
97,4,False,0,14,0,34,1,0,39,1,choice,2,2,0,1,0,1.99,3.14,5.75
98,4,False,1,14,0,24,0,0,26,0,choice,2,2,1,1,0,3.78,6.33,8.42
99,4,False,1,14,1,22,1,1,25,1,choice,1,1,1,1,0,2.92,1.85,4.24
100,4,False,1,14,1,14,1,1,14,1,force,2,0,0,0,0,1.5,4.08,5.09
101,4,False,0,14,0,38,1,0,40,1,choice,1,1,0,1,0,2.3,3.31,6.62
102,4,False,0,14,0,35,1,0,22,1,choice,2,2,1,0,0,6.44,4.3,6.78
103,4,False,1,14,1,12,1,1,6,1,force,1,0,0,0,0,3.93,4.71,5.72
104,4,False,0,14,0,35,1,0,39,1,force,2,0,0,1,0,1.87,2.38,3.39
105,4,False,0,14,0,34,1,0,34,1,force,1,0,0,1,0,2.08,2.43,3.44
106,4,False,1,14,1,10,1,1,17,1,choice,1,2,1,1,0,2.06,2.12,5.24
107,4,False,0,14,0,29,1,0,35,1,choice,1,2,0,1,0,4.43,2.14,4.31
108,4,False,0,14,0,29,1,0,32,1,choice,1,1,1,0,0,1.74,1.76,3.96
109,4,False,1,14,0,19,0,0,21,0,choice,1,2,0,0,0,2.95,2.23,4.36
110,4,False,1,14,1,30,1,1,34,1,choice,2,2,1,1,0,2.5,5.96,9.38
111,4,False,0,14,1,10,0,1,12,0,choice,1,1,0,1,0,1.78,1.62,3.91
112,4,False,0,14,1,18,0,1,8,0,force,2,0,0,1,0,3.46,3.58,4.59
113,4,False,1,14,0,12,0,0,15,0,force,2,0,1,1,0,5.85,6.32,7.33
114,4,False,0,14,0,21,1,1,9,0,force,1,0,1,0,0,1.98,5.29,6.3
115,4,False,0,14,0,24,1,0,29,1,choice,2,1,0,1,0,3.45,4.6,6.59
116,4,False,1,14,1,12,1,1,15,1,choice,1,2,1,1,0,2.03,1.91,3.6
117,4,False,1,14,1,23,1,1,25,1,force,2,0,0,0,0,1.57,4.78,5.79
118,4,False,0,14,0,19,1,0,21,1,choice,2,2,0,1,0,2.55,2.24,5.12
119,4,False,1,14,1,22,1,1,28,1,choice,1,2,1,1,0,1.47,1.92,4.04
120,4,False,0,14,0,22,1,0,30,1,choice,1,1,0,1,0,2.34,2.0,4.51
121,4,False,1,14,1,5,1,0,14,0,choice,2,1,0,0,0,1.63,2.11,4.29
122,4,False,0,14,0,31,1,0,35,1,force,2,0,0,1,0,2.48,2.32,3.34
123,4,False,0,14,1,13,0,1,19,0,choice,2,2,1,0,0,1.74,3.02,5.98
124,4,False,0,14,0,19,1,0,26,1,choice,1,1,0,1,0,1.9,3.33,6.11
125,4,False,0,14,0,46,1,0,48,1,choice,2,1,0,1,0,1.85,2.44,4.39
126,4,False,0,14,0,31,1,1,16,0,choice,1,2,1,0,0,1.57,2.42,4.17
127,4,False,1,14,1,17,1,1,21,1,force,1,0,1,1,0,1.59,2.29,3.3
128,4,False,0,14,0,16,1,1,13,0,choice,1,2,1,0,0,2.1,3.29,7.14
129,4,False,0,14,0,28,1,0,28,1,choice,2,2,0,1,0,1.79,2.2,5.27
130,4,False,1,14,0,32,0,0,32,0,force,1,0,1,1,0,1.77,2.69,3.71
131,4,False,0,14,0,39,1,0,42,1,choice,2,1,0,1,0,2.83,2.81,5.04
132,4,False,1,14,1,14,1,1,18,1,choice,1,1,1,1,0,1.63,2.68,5.02
133,4,False,0,14,0,7,1,0,12,1,choice,2,2,0,1,0,1.61,1.71,3.8
134,4,False,1,14,1,9,1,1,12,1,force,2,0,1,1,0,1.5,1.75,2.75
135,4,False,0,14,0,20,1,0,22,1,force,1,0,0,1,0,1.9,2.37,3.38
136,4,False,0,14,0,32,1,0,33,1,choice,2,1,0,1,0,1.73,2.42,5.13
137,4,False,1,14,0,22,0,0,31,0,choice,1,2,0,0,0,1.84,2.34,4.45
138,4,False,0,14,0,11,1,0,17,1,force,1,0,0,1,0,2.26,7.67,8.68
139,4,False,1,14,0,27,0,0,30,0,force,2,0,1,1,0,2.52,1.88,2.89
140,4,False,0,14,0,18,1,0,17,1,choice,2,1,0,1,0,1.74,1.68,3.79
141,4,False,0,14,0,27,1,0,27,1,force,1,0,1,0,0,2.02,1.84,2.85
142,4,False,0,14,0,6,1,1,9,0,choice,2,2,1,0,0,3.22,3.97,6.09
143,4,False,0,14,0,12,1,0,16,1,choice,2,1,0,1,0,2.54,2.33,4.27
144,4,False,1,14,0,19,0,1,12,1,choice,2,2,1,1,0,2.09,2.22,5.18
145,4,False,0,14,1,15,0,0,15,1,choice,2,2,0,1,0,2.15,2.27,4.26
146,4,False,0,14,0,21,1,0,25,1,choice,2,2,0,1,0,1.73,2.44,4.29
147,4,False,1,14,1,9,1,0,16,0,choice,2,1,0,0,0,1.72,2.22,4.24
148,4,False,1,14,0,19,0,0,19,0,choice,2,2,1,1,0,2.21,2.46,5.67
149,4,False,0,14,0,29,1,0,29,1,choice,2,2,0,1,0,1.63,5.37,7.72
150,4,False,1,14,0,11,0,0,11,0,force,2,0,1,1,0,2.49,5.19,6.2
151,5,False,1,14,1,19,1,1,27,1,choice,2,1,0,0,0,2.21,4.84,6.72
152,5,False,0,14,0,27,1,0,29,1,choice,2,2,1,0,0,1.93,1.94,4.07
153,5,False,0,14,0,44,1,0,44,1,choice,1,1,0,1,0,1.61,2.51,4.45
154,5,False,1,14,1,6,1,1,8,1,force,1,0,1,1,0,2.18,3.2,4.2
155,5,False,1,14,1,17,1,1,16,1,choice,1,2,1,1,0,1.56,1.39,3.54
156,5,False,0,14,0,25,1,0,26,1,choice,2,2,1,0,0,1.45,2.07,7.32
157,5,False,0,14,0,16,1,0,21,1,choice,1,2,0,1,0,8.12,1.45,4.66
158,5,False,0,14,0,25,1,0,32,1,choice,2,1,1,0,0,1.94,2.97,5.12
159,5,False,1,14,0,21,0,0,23,0,choice,2,2,1,1,0,2.79,1.94,4.9
160,5,False,1,14,0,30,0,0,29,0,force,2,0,1,1,0,4.41,3.31,4.32
161,5,False,1,14,1,13,1,1,13,1,force,2,0,1,1,0,1.84,2.79,3.81
162,5,False,0,14,1,25,0,1,30,0,force,1,0,0,1,0,7.46,1.86,2.87
163,5,False,0,14,0,25,1,0,29,1,force,2,0,0,1,0,2.36,5.12,6.13
164,5,False,0,14,1,17,0,1,23,0,choice,2,2,0,1,0,2.09,4.35,15.16
165,5,False,0,14,0,25,1,0,23,1,force,1,0,0,1,0,14.78,30.25,31.26
166,5,False,0,14,0,16,1,0,24,1,force,1,0,1,0,0,17.27,2.2,3.21
167,5,False,0,14,0,21,1,0,25,1,choice,2,2,0,1,0,4.2,3.13,5.08
168,5,False,0,14,0,30,1,0,32,1,force,2,0,1,0,0,18.79,2.51,3.51
169,5,False,0,14,0,28,1,0,24,1,choice,2,2,0,1,0,2.62,2.66,4.46
170,5,False,0,14,0,40,1,0,40,1,force,2,0,0,1,0,2.13,1.89,2.9
171,5,False,1,14,0,30,0,0,35,0,choice,2,1,1,1,0,2.59,2.04,5.88
172,5,False,0,14,0,40,1,0,42,1,force,1,0,0,1,0,1.89,4.2,5.21
