trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,1,1,,,,catch,0,0,,0,0,18.36,,
2,1,True,1,15,0,1,0,,,,catch,0,0,,0,0,6.01,,
3,1,True,1,15,1,4,1,,,,catch,0,0,,0,0,2.88,,
4,1,True,0,15,1,8,0,,,,catch,0,0,,0,0,2.15,,
5,1,True,0,15,0,4,1,,,,catch,0,0,,0,0,1.75,,
6,1,True,0,15,0,10,1,,,,catch,0,0,,0,0,1.75,,
7,1,True,1,14,0,8,0,,,,catch,0,0,,0,0,1.85,,
8,1,True,1,15,0,15,0,,,,catch,0,0,,0,0,2.46,,
9,1,True,1,15,0,18,0,,,,catch,0,0,,0,0,2.15,,
10,1,True,0,15,0,22,1,,,,catch,0,0,,0,0,2.33,,
11,1,True,1,15,0,3,0,,,,catch,0,0,,0,0,2.31,,
12,1,True,1,15,1,11,1,,,,catch,0,0,,0,0,1.89,,
13,1,True,0,15,1,18,0,,,,catch,0,0,,0,0,2.01,,
14,1,True,1,15,1,23,1,,,,catch,0,0,,0,0,1.97,,
15,1,True,0,15,1,26,0,,,,catch,0,0,,0,0,2.25,,
16,1,True,0,15,0,18,1,,,,catch,0,0,,0,0,1.5,,
17,1,True,1,15,0,33,0,,,,catch,0,0,,0,0,1.71,,
18,1,True,0,15,1,27,0,,,,catch,0,0,,0,0,1.74,,
19,1,True,1,15,1,20,1,,,,catch,0,0,,0,0,1.18,,
20,1,True,1,15,1,28,1,,,,catch,0,0,,0,0,2.19,,
21,1,True,0,14,0,13,1,,,,catch,0,0,,0,0,1.65,,
22,1,True,1,14,1,2,1,,,,catch,0,0,,0,0,2.16,,
23,1,True,1,13,0,27,0,,,,catch,0,0,,0,0,2.3,,
24,1,True,0,14,0,37,1,,,,catch,0,0,,0,0,1.63,,
25,1,True,0,14,0,8,1,,,,catch,0,0,,0,0,1.91,,
26,1,True,0,13,1,2,0,,,,catch,0,0,,0,0,1.77,,
27,1,True,0,14,1,14,0,,,,catch,0,0,,0,0,1.58,,
28,1,True,1,15,1,13,1,,,,catch,0,0,,0,0,1.69,,
29,1,True,1,15,1,7,1,,,,catch,0,0,,0,0,1.45,,
30,1,True,0,14,0,2,1,,,,catch,0,0,,0,0,1.56,,
31,2,True,0,14,0,7,1,,,,catch,0,0,,0,0,8.02,,
32,2,True,0,13,0,25,1,,,,catch,0,0,,0,0,1.36,,
33,2,True,1,13,1,15,1,,,,catch,0,0,,0,0,2.17,,
34,2,True,0,12,0,24,1,,,,catch,0,0,,0,0,1.84,,
35,2,True,1,12,1,20,1,,,,catch,0,0,,0,0,2.62,,
36,2,True,1,11,0,29,0,,,,catch,0,0,,0,0,3.01,,
37,2,True,0,12,0,23,1,,,,catch,0,0,,0,0,2.3,,
38,2,True,1,12,0,31,0,,,,catch,0,0,,0,0,2.59,,
39,2,True,0,13,0,32,1,,,,catch,0,0,,0,0,1.65,,
40,2,True,0,13,1,4,0,,,,catch,0,0,,0,0,1.54,,
41,2,True,0,14,0,5,1,,,,catch,0,0,,0,0,2.26,,
42,2,True,0,14,1,7,0,,,,catch,0,0,,0,0,2.18,,
43,2,True,1,15,0,23,0,,,,catch,0,0,,0,0,2.44,,
44,2,True,1,15,0,36,0,,,,catch,0,0,,0,0,2.53,,
45,2,True,1,15,1,29,1,,,,catch,0,0,,0,0,2.07,,
46,2,True,1,15,1,10,1,,,,catch,0,0,,0,0,1.84,,
47,2,True,0,14,0,33,1,,,,catch,0,0,,0,0,1.71,,
48,2,True,0,14,0,7,1,,,,catch,0,0,,0,0,2.0,,
49,2,True,1,13,1,5,1,,,,catch,0,0,,0,0,1.68,,
50,2,True,1,13,1,2,1,,,,catch,0,0,,0,0,1.83,,
51,2,True,0,12,0,31,1,,,,catch,0,0,,0,0,1.67,,
52,2,True,1,12,1,32,1,,,,catch,0,0,,0,0,2.58,,
53,2,True,1,11,0,24,0,,,,catch,0,0,,0,0,2.05,,
54,2,True,1,12,1,11,1,,,,catch,0,0,,0,0,1.71,,
55,2,True,0,12,0,19,1,,,,catch,0,0,,0,0,1.61,,
56,2,True,0,11,1,14,0,,,,catch,0,0,,0,0,1.39,,
57,2,True,1,12,0,45,0,,,,catch,0,0,,0,0,1.92,,
58,2,True,1,13,1,36,1,,,,catch,0,0,,0,0,2.37,,
59,2,True,0,13,0,16,1,,,,catch,0,0,,0,0,2.11,,
60,2,True,0,12,0,26,1,,,,catch,0,0,,0,0,2.23,,
61,3,True,1,12,1,12,1,,,,catch,0,0,,0,0,2.28,,
62,3,True,1,11,1,22,1,,,,catch,0,0,,0,0,2.1,,
63,3,True,0,11,0,24,1,,,,catch,0,0,,0,0,1.65,,
64,3,True,1,10,0,33,0,,,,catch,0,0,,0,0,1.76,,
65,3,True,0,11,0,5,1,,,,catch,0,0,,0,0,2.19,,
66,3,True,0,11,0,14,1,,,,catch,0,0,,0,0,1.69,,
67,3,True,1,10,1,10,1,,,,catch,0,0,,0,0,1.7,,
68,3,True,1,10,0,26,0,,,,catch,0,0,,0,0,2.35,,
69,3,True,1,11,1,28,1,,,,catch,0,0,,0,0,2.82,,
70,3,True,0,11,0,4,1,,,,catch,0,0,,0,0,2.5,,
71,3,True,1,10,1,8,1,,,,catch,0,0,,0,0,1.62,,
72,3,True,1,10,0,22,0,,,,catch,0,0,,0,0,1.76,,
73,3,True,1,11,1,26,1,,,,catch,0,0,,0,0,1.94,,
74,3,True,0,11,0,22,1,,,,catch,0,0,,0,0,1.75,,
75,3,True,0,10,0,29,1,,,,catch,0,0,,0,0,3.03,,
76,3,True,0,10,0,38,1,,,,catch,0,0,,0,0,2.31,,
77,3,True,0,9,1,4,0,,,,catch,0,0,,0,0,2.61,,
78,3,True,1,10,0,22,0,,,,catch,0,0,,0,0,1.88,,
79,3,True,1,11,0,25,0,,,,catch,0,0,,0,0,2.17,,
80,3,True,1,12,1,23,1,,,,catch,0,0,,0,0,2.15,,
81,3,True,1,12,0,21,0,,,,catch,0,0,,0,0,1.83,,
82,3,True,1,13,1,27,1,,,,catch,0,0,,0,0,1.53,,
83,3,True,0,13,1,2,0,,,,catch,0,0,,0,0,1.73,,
84,3,True,1,14,1,1,1,,,,catch,0,0,,0,0,1.77,,
85,3,True,1,14,0,16,0,,,,catch,0,0,,0,0,1.65,,
86,3,True,0,15,0,27,1,,,,catch,0,0,,0,0,2.22,,
87,3,True,0,15,0,24,1,,,,catch,0,0,,0,0,2.09,,
88,3,True,1,14,1,35,1,,,,catch,0,0,,0,0,1.99,,
89,3,True,1,14,1,5,1,,,,catch,0,0,,0,0,2.26,,
90,3,True,1,13,0,17,0,,,,catch,0,0,,0,0,1.9,,
91,4,False,1,14,0,13,0,0,33,0,choice,2,2,0,0,0,3.84,4.48,7.28
92,4,False,0,14,1,10,0,0,15,1,choice,2,1,0,1,0,2.34,2.42,4.98
93,4,False,0,14,1,20,0,0,2,1,force,2,0,0,1,0,3.4,3.44,4.45
94,4,False,0,14,0,17,1,1,13,0,force,1,0,1,0,0,2.64,2.34,3.34
95,4,False,0,14,0,27,1,0,37,1,choice,2,2,0,1,0,5.15,4.1,6.0
96,4,False,1,14,1,13,1,1,4,1,choice,1,1,0,0,0,1.79,2.41,4.63
97,4,False,0,14,1,24,0,0,4,1,force,2,0,0,1,0,2.05,2.7,3.7
98,4,False,1,14,1,14,1,1,32,1,choice,2,1,1,1,0,3.0,2.36,4.45
99,4,False,0,14,1,12,0,0,1,1,force,1,0,0,1,0,1.58,2.92,3.93
100,4,False,0,14,1,31,0,1,48,0,choice,2,1,1,0,0,2.67,2.76,5.09
101,4,False,0,14,1,10,0,0,7,1,force,2,0,0,1,0,1.74,2.21,3.21
102,4,False,0,14,0,22,1,0,34,1,choice,1,1,0,1,0,1.97,2.06,4.34
103,4,False,0,14,0,34,1,0,50,1,choice,1,2,0,1,0,1.71,3.17,6.97
104,4,False,1,14,1,39,1,1,50,1,force,1,0,1,1,0,1.76,2.94,3.95
105,4,False,1,14,1,25,1,1,37,1,choice,1,1,1,1,0,1.79,1.78,4.1
106,4,False,0,14,1,12,0,1,2,0,choice,1,2,0,1,0,2.75,2.71,4.88
107,4,False,1,14,1,16,1,1,32,1,force,2,0,1,1,0,1.81,2.12,3.12
108,4,False,0,14,0,5,1,0,19,1,choice,1,2,0,1,0,1.93,1.76,3.52
109,4,False,0,14,0,11,1,0,30,1,choice,1,2,0,1,0,1.87,2.05,3.9
110,4,False,1,14,1,22,1,1,38,1,choice,1,1,1,1,0,2.57,1.63,3.51
111,4,False,1,14,1,23,1,1,43,1,force,1,0,1,1,0,1.84,1.99,3.0
112,4,False,1,14,1,22,1,1,36,1,choice,2,1,1,1,0,1.45,2.19,4.13
113,4,False,0,14,1,12,0,1,26,0,choice,1,1,1,0,0,2.46,2.07,4.27
114,4,False,1,14,1,28,1,1,12,1,choice,1,1,0,0,0,2.39,3.23,4.9
115,4,False,0,14,1,13,0,1,30,0,choice,2,2,1,0,0,1.56,2.24,3.99
116,4,False,1,14,1,19,1,1,38,1,choice,1,2,1,1,0,1.9,1.76,3.45
117,4,False,1,14,1,11,1,1,23,1,choice,2,2,1,1,0,1.93,2.38,4.13
118,4,False,0,14,1,25,0,1,10,0,force,2,0,0,1,0,2.02,1.94,2.95
119,4,False,1,14,1,15,1,1,37,1,force,1,0,1,1,0,1.47,1.83,2.83
120,4,False,0,14,0,13,1,0,29,1,choice,1,1,0,1,0,1.88,1.71,3.65
121,4,False,1,14,1,14,1,1,32,1,choice,1,2,1,1,0,1.56,1.52,3.67
122,4,False,0,14,0,16,1,0,4,1,force,2,0,1,0,0,1.52,2.49,3.5
123,4,False,1,14,0,14,0,1,10,1,choice,1,2,1,1,0,1.57,2.44,4.26
124,4,False,1,14,1,8,1,0,1,0,choice,1,2,0,0,0,1.53,2.35,4.62
125,4,False,1,14,1,3,1,1,20,1,choice,2,2,1,1,0,1.65,2.04,3.73
126,4,False,0,14,0,4,1,0,21,1,choice,1,2,0,1,0,1.53,1.64,3.68
127,4,False,0,14,0,24,1,0,34,1,force,1,0,0,1,0,1.97,1.82,2.82
128,4,False,0,14,0,31,1,0,14,1,choice,1,1,1,0,0,1.57,4.1,6.33
129,4,False,0,14,0,17,1,0,39,1,choice,1,1,0,1,0,1.49,1.48,4.34
130,4,False,1,14,1,5,1,1,16,1,choice,1,2,1,1,0,1.59,1.68,3.76
131,4,False,0,14,0,19,1,0,33,1,force,2,0,0,1,0,1.85,1.95,2.96
132,4,False,0,14,0,29,1,0,4,1,choice,1,1,1,0,0,1.98,1.41,3.28
133,4,False,0,14,0,28,1,0,41,1,choice,1,1,0,1,0,1.62,2.53,4.31
134,4,False,1,14,1,3,1,0,10,0,choice,2,1,0,0,0,2.69,1.56,3.31
135,4,False,1,14,1,7,1,1,18,1,choice,1,1,1,1,0,1.95,2.18,6.07
136,4,False,0,14,0,17,1,1,10,0,force,1,0,1,0,0,1.48,1.99,2.99
137,4,False,1,14,1,10,1,1,21,1,choice,1,2,1,1,0,1.23,1.58,3.8
138,4,False,0,14,0,14,1,0,33,1,force,1,0,0,1,0,1.47,2.29,3.29
139,4,False,0,14,0,24,1,0,36,1,force,2,0,0,1,0,1.63,1.86,2.87
140,4,False,0,14,0,27,1,0,41,1,force,2,0,0,1,0,1.38,1.99,3.0
141,4,False,1,14,1,8,1,1,21,1,choice,1,1,1,1,0,1.36,3.12,4.83
142,4,False,0,14,0,18,1,0,28,1,force,2,0,0,1,0,1.53,3.58,4.59
143,4,False,0,14,0,19,1,0,33,1,choice,1,2,0,1,0,1.38,1.68,4.06
144,4,False,0,14,0,24,1,0,38,1,choice,1,1,0,1,0,2.55,2.02,4.09
145,4,False,0,14,0,24,1,0,40,1,force,1,0,0,1,0,2.62,2.23,3.23
146,4,False,1,14,1,7,1,1,2,1,force,1,0,0,0,0,2.01,4.21,5.21
147,4,False,0,14,0,8,1,0,25,1,choice,2,1,0,1,0,2.35,1.64,4.24
148,4,False,0,14,0,17,1,1,1,0,choice,1,2,1,0,0,1.52,2.16,3.97
149,4,False,1,14,1,7,1,1,17,1,choice,1,2,1,1,0,1.6,2.62,4.34
150,4,False,1,14,1,16,1,1,24,1,choice,1,2,1,1,0,2.53,1.88,4.8
151,5,False,0,14,1,2,0,0,10,1,choice,1,1,0,1,0,6.4,2.29,4.34
152,5,False,1,14,1,18,1,1,29,1,choice,1,2,1,1,0,1.73,2.06,4.07
153,5,False,1,14,1,25,1,1,15,1,choice,1,1,0,0,0,1.65,3.44,5.83
154,5,False,1,14,1,15,1,1,3,1,choice,1,1,0,0,0,1.48,2.21,4.16
155,5,False,1,14,1,14,1,1,26,1,choice,2,2,1,1,0,1.45,2.36,4.84
156,5,False,1,14,1,11,1,1,1,1,choice,2,1,0,0,0,1.35,2.05,3.85
157,5,False,1,14,1,20,1,1,18,1,force,2,0,0,0,0,2.12,2.92,3.93
158,5,False,0,14,0,16,1,0,38,1,choice,1,2,0,1,0,1.82,2.66,4.54
159,5,False,0,14,0,22,1,0,32,1,choice,1,1,0,1,0,1.95,2.04,4.07
160,5,False,1,14,0,20,0,0,1,0,choice,1,1,1,1,0,1.67,2.91,4.62
161,5,False,0,14,0,16,1,0,27,1,force,2,0,0,1,0,1.94,1.73,2.73
162,5,False,0,14,0,17,1,1,2,0,choice,1,2,1,0,0,1.49,1.78,3.98
163,5,False,0,14,0,8,1,0,6,1,choice,1,2,1,0,0,1.53,1.64,3.92
164,5,False,0,14,0,14,1,0,23,1,choice,1,1,0,1,0,1.92,1.47,3.49
165,5,False,0,14,0,12,1,0,23,1,choice,1,1,0,1,0,1.41,1.4,3.71
166,5,False,0,14,1,12,0,1,22,0,choice,1,1,1,0,0,1.47,2.47,4.19
167,5,False,0,14,0,18,1,0,34,1,force,1,0,0,1,0,2.12,1.93,2.94
168,5,False,0,14,0,20,1,0,36,1,force,1,0,0,1,0,1.92,1.72,2.72
169,5,False,0,14,0,22,1,0,5,1,choice,1,2,1,0,0,1.71,1.62,3.44
170,5,False,1,14,1,14,1,1,27,1,choice,1,2,1,1,0,1.46,2.02,3.66
171,5,False,0,14,1,21,0,1,3,0,force,2,0,0,1,0,1.48,1.43,2.44
172,5,False,1,14,1,14,1,1,28,1,choice,2,2,1,1,0,1.76,1.58,3.52
173,5,False,0,14,1,17,0,1,2,0,choice,2,2,0,1,0,1.46,1.27,3.15
174,5,False,0,14,1,4,0,0,13,1,choice,1,2,0,1,0,1.42,1.34,3.04
175,5,False,1,14,1,8,1,1,13,1,choice,2,2,1,1,0,2.3,2.28,3.99
176,5,False,0,14,0,16,1,0,29,1,force,2,0,0,1,0,1.5,1.64,2.64
177,5,False,0,14,0,11,1,1,5,0,force,1,0,1,0,0,1.94,1.62,2.63
178,5,False,0,14,0,11,1,0,1,1,force,2,0,1,0,0,1.82,2.03,3.04
179,5,False,1,14,0,4,0,1,3,1,force,1,0,1,1,0,1.57,2.14,3.14
180,5,False,1,14,1,6,1,0,6,0,choice,1,2,0,0,0,1.94,2.83,4.79
181,5,False,0,14,0,14,1,0,3,1,force,2,0,1,0,0,1.4,1.35,2.36
182,5,False,0,14,1,10,0,1,3,0,choice,1,1,0,1,0,2.25,2.33,4.22
