trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,15,0,,,,catch,0,,,,1.21,,
2,2,True,0,15,1,18,0,,,,catch,0,,,,0.94,,
3,3,True,0,15,0,15,1,,,,catch,0,,,,0.24,,
4,4,False,0,15,1,22,0,0,26,1,forceblk4,1,0,1,19,0.1,1.61,2.62
5,5,False,1,15,0,25,0,1,34,1,choice,1,0,0,38,0.22,1.0,2.77
6,5,False,1,15,1,24,1,0,22,0,force,1,1,0,49,0.14,1.2,2.21
7,6,False,0,15,1,19,0,0,16,1,choice,1,0,0,25,0.34,1.27,2.82
8,6,False,0,15,1,13,0,0,12,1,force,1,0,1,28,0.15,1.56,2.56
9,7,False,1,15,1,7,1,0,17,0,choice,1,0,0,20,0.62,1.41,3.04
10,7,False,0,15,0,5,1,0,23,1,force,2,1,0,49,0.14,1.28,2.28
11,8,False,1,15,1,14,1,1,24,1,choice,2,1,1,40,1.22,1.17,2.71
12,8,False,0,15,1,18,0,0,16,1,force,2,1,0,36,0.2,1.7,2.7
13,9,False,1,15,0,19,0,1,11,1,force,1,1,0,28,0.99,0.78,1.79
14,9,False,1,15,1,15,1,0,15,0,choice,2,0,0,35,0.21,1.87,3.43
15,10,False,0,15,0,12,1,0,22,1,choice,2,1,1,39,0.7,1.1,2.72
16,10,False,0,15,0,8,1,0,21,1,force,2,1,0,24,1.58,1.07,2.07
