trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,21,1,,,,catch,0,,,,26.22,,
2,1,True,0,15,1,13,0,,,,catch,0,,,,7.99,,
3,1,True,0,15,1,9,0,,,,catch,0,,,,10.96,,
4,1,True,0,15,0,8,1,,,,catch,0,,,,3.43,,
5,1,True,0,15,0,9,1,,,,catch,0,,,,1.9,,
6,1,True,0,14,0,12,1,,,,catch,0,,,,2.21,,
7,1,True,0,14,0,12,1,,,,catch,0,,,,1.79,,
8,1,True,1,13,0,12,0,,,,catch,0,,,,1.8,,
9,1,True,0,14,0,11,1,,,,catch,0,,,,1.29,,
10,1,True,1,14,1,10,1,,,,catch,0,,,,1.35,,
11,1,True,1,13,0,11,0,,,,catch,0,,,,2.02,,
12,1,True,1,14,0,9,0,,,,catch,0,,,,1.33,,
13,1,True,0,15,1,8,0,,,,catch,0,,,,0.83,,
14,1,True,1,15,1,7,1,,,,catch,0,,,,0.79,,
15,1,True,0,15,1,15,0,,,,catch,0,,,,2.4,,
16,1,True,1,15,0,13,0,,,,catch,0,,,,2.15,,
17,1,True,0,15,1,14,0,,,,catch,0,,,,1.32,,
18,1,True,1,15,0,13,0,,,,catch,0,,,,1.7,,
19,1,True,1,15,0,10,0,,,,catch,0,,,,1.65,,
20,1,True,0,15,0,10,1,,,,catch,0,,,,0.65,,
21,1,True,0,15,1,12,0,,,,catch,0,,,,0.75,,
22,1,True,1,15,1,9,1,,,,catch,0,,,,0.4,,
23,1,True,0,15,0,9,1,,,,catch,0,,,,0.99,,
24,1,True,0,14,0,9,1,,,,catch,0,,,,0.52,,
25,1,True,0,14,0,11,1,,,,catch,0,,,,0.37,,
26,1,True,1,13,1,9,1,,,,catch,0,,,,0.38,,
27,1,True,1,13,0,12,0,,,,catch,0,,,,0.51,,
28,1,True,1,14,0,11,0,,,,catch,0,,,,0.97,,
29,1,True,1,15,1,10,1,,,,catch,0,,,,0.32,,
30,1,True,1,15,1,13,1,,,,catch,0,,,,0.48,,
31,2,True,1,14,0,12,0,,,,catch,0,,,,2.03,,
32,2,True,0,15,0,14,1,,,,catch,0,,,,1.54,,
33,2,True,1,15,1,16,1,,,,catch,0,,,,1.55,,
34,2,True,0,14,0,7,1,,,,catch,0,,,,1.37,,
35,2,True,0,14,1,15,0,,,,catch,0,,,,1.84,,
36,2,True,1,15,1,8,1,,,,catch,0,,,,1.17,,
37,2,True,1,15,0,11,0,,,,catch,0,,,,1.67,,
38,2,True,0,15,0,11,1,,,,catch,0,,,,1.61,,
39,2,True,0,15,0,8,1,,,,catch,0,,,,1.17,,
40,2,True,1,14,1,11,1,,,,catch,0,,,,1.34,,
41,2,True,1,14,1,9,1,,,,catch,0,,,,1.23,,
42,2,True,1,13,0,11,0,,,,catch,0,,,,1.33,,
43,2,True,0,14,0,10,1,,,,catch,0,,,,3.05,,
44,2,True,1,14,1,7,1,,,,catch,0,,,,1.02,,
45,2,True,0,13,0,10,1,,,,catch,0,,,,1.6,,
46,2,True,1,13,0,10,0,,,,catch,0,,,,1.95,,
47,2,True,1,14,0,7,0,,,,catch,0,,,,1.07,,
48,2,True,1,15,0,10,0,,,,catch,0,,,,73.79,,
49,2,True,1,15,0,9,0,,,,catch,0,,,,1.51,,
50,2,True,0,15,0,7,1,,,,catch,0,,,,0.5,,
51,2,True,1,15,0,10,0,,,,catch,0,,,,0.45,,
52,2,True,1,15,1,8,1,,,,catch,0,,,,0.45,,
53,2,True,1,15,1,9,1,,,,catch,0,,,,0.17,,
54,2,True,1,14,0,8,0,,,,catch,0,,,,0.17,,
55,2,True,0,15,1,8,0,,,,catch,0,,,,1.04,,
56,2,True,1,15,0,14,0,,,,catch,0,,,,0.8,,
57,2,True,1,15,1,10,1,,,,catch,0,,,,0.96,,
58,2,True,0,15,1,5,0,,,,catch,0,,,,3.04,,
59,2,True,0,15,0,4,1,,,,catch,0,,,,0.43,,
60,2,True,0,15,1,10,0,,,,catch,0,,,,0.71,,
61,3,True,1,15,0,7,0,,,,catch,0,,,,2.17,,
62,3,True,0,15,1,7,0,,,,catch,0,,,,0.52,,
63,3,True,1,15,0,8,0,,,,catch,0,,,,0.36,,
64,3,True,0,15,0,6,1,,,,catch,0,,,,0.34,,
65,3,True,0,15,1,7,0,,,,catch,0,,,,0.07,,
66,3,True,0,15,0,6,1,,,,catch,0,,,,0.21,,
67,3,True,0,15,0,5,1,,,,catch,0,,,,0.16,,
68,3,True,0,14,0,9,1,,,,catch,0,,,,0.21,,
69,3,True,1,14,0,10,0,,,,catch,0,,,,0.08,,
70,3,True,0,15,1,10,0,,,,catch,0,,,,0.12,,
71,3,True,1,15,1,8,1,,,,catch,0,,,,0.08,,
72,3,True,1,15,1,8,1,,,,catch,0,,,,0.07,,
73,3,True,1,14,0,6,0,,,,catch,0,,,,0.2,,
74,3,True,1,15,0,8,0,,,,catch,0,,,,0.2,,
75,3,True,0,15,1,7,0,,,,catch,0,,,,0.27,,
76,3,True,0,15,1,7,0,,,,catch,0,,,,0.27,,
77,3,True,1,15,1,8,1,,,,catch,0,,,,0.27,,
78,3,True,1,15,1,8,1,,,,catch,0,,,,1.44,,
79,3,True,0,14,0,4,1,,,,catch,0,,,,1.44,,
80,3,True,0,14,0,7,1,,,,catch,0,,,,1.44,,
81,3,True,1,13,1,6,1,,,,catch,0,,,,1.44,,
82,3,True,1,13,1,15,1,,,,catch,0,,,,0.5,,
83,3,True,1,12,0,13,0,,,,catch,0,,,,0.05,,
84,3,True,1,13,1,5,1,,,,catch,0,,,,0.05,,
85,3,True,0,13,0,6,1,,,,catch,0,,,,0.05,,
86,3,True,1,12,0,6,0,,,,catch,0,,,,1.59,,
87,3,True,1,13,1,4,1,,,,catch,0,,,,1.19,,
88,3,True,1,13,0,8,0,,,,catch,0,,,,0.75,,
89,3,True,0,14,1,5,0,,,,catch,0,,,,0.22,,
90,3,True,0,15,1,7,0,,,,catch,0,,,,0.22,,
91,4,False,1,15,0,13,0,0,13,0,choice,2,1,0,27,2.32,4.36,8.95
92,4,False,0,15,1,9,0,0,11,1,force,1,1,0,,3.07,3.31,4.32
93,4,False,1,15,0,9,0,0,9,0,force,2,0,1,,1.37,3.67,4.68
94,4,False,0,15,1,7,0,0,13,1,choice,1,1,0,17,1.09,2.88,5.08
95,4,False,0,15,0,11,1,0,13,1,choice,1,0,1,39,0.92,1.77,3.64
96,4,False,1,15,1,9,1,0,12,0,force,1,1,0,,2.12,2.17,3.18
97,4,False,1,15,1,13,1,1,11,1,choice,1,1,0,41,1.9,2.48,4.53
98,4,False,1,15,0,10,0,1,7,1,choice,1,0,1,49,0.76,1.33,3.18
99,4,False,0,15,0,9,1,0,9,1,choice,1,0,1,35,1.54,1.38,2.87
100,4,False,0,15,1,8,0,1,18,0,choice,1,0,1,27,0.6,1.99,3.99
101,4,False,1,15,1,7,1,0,14,0,force,2,0,1,,2.52,1.83,2.84
102,4,False,0,15,1,10,0,1,18,0,choice,1,1,0,32,2.63,1.99,3.91
103,4,False,0,15,0,14,1,1,14,0,force,1,0,1,,5.08,36.61,37.62
104,4,False,0,15,1,10,0,0,9,1,choice,1,1,0,23,0.07,1.3,3.88
105,4,False,1,15,1,8,1,0,11,0,choice,2,0,1,23,0.3,1.41,2.82
106,4,False,0,15,0,11,1,1,10,0,choice,2,1,0,31,0.43,0.81,2.63
107,4,False,0,15,1,10,0,1,15,0,force,2,0,1,,0.69,1.97,2.97
108,4,False,0,15,1,9,0,0,19,1,choice,1,1,0,11,4.77,1.63,3.65
109,4,False,1,15,1,14,1,1,14,1,force,1,0,1,,4.77,,
110,4,False,1,15,1,10,1,0,16,0,choice,1,0,1,32,1.59,0.89,2.42
111,4,False,0,15,1,9,0,1,12,0,choice,1,0,1,32,0.98,1.06,3.17
112,4,False,0,15,1,8,0,1,14,0,force,2,0,1,,2.23,1.7,2.7
113,4,False,0,15,1,14,0,1,19,0,choice,2,1,0,45,1.76,1.65,3.36
114,4,False,1,15,0,15,0,1,11,1,choice,1,0,1,45,0.87,2.22,3.9
115,4,False,1,15,1,11,1,1,12,1,force,1,0,1,,0.46,1.45,2.45
116,4,False,0,15,1,19,0,1,11,0,choice,1,1,0,31,1.18,1.46,3.45
117,4,False,1,15,1,9,1,0,22,0,choice,2,1,0,25,3.08,1.92,3.84
118,4,False,0,15,0,14,1,0,12,1,force,2,0,1,,0.63,1.27,2.27
