trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,8,0,,,,catch,0,,0,0,48.64,,
2,1,True,1,15,1,23,1,,,,catch,0,,0,0,9.78,,
3,1,True,0,15,0,26,1,,,,catch,0,,0,0,11.78,,
4,1,True,0,14,0,26,1,,,,catch,0,,0,0,4.72,,
5,1,True,1,14,1,18,1,,,,catch,0,,0,0,6.21,,
6,1,True,1,13,0,24,0,,,,catch,0,,0,0,7.08,,
7,1,True,0,14,0,6,1,,,,catch,0,,0,0,7.01,,
8,1,True,0,14,0,8,1,,,,catch,0,,0,0,2.3,,
9,1,True,0,13,0,8,1,,,,catch,0,,0,0,3.03,,
10,1,True,0,13,0,2,1,,,,catch,0,,0,0,2.77,,
11,1,True,1,12,0,4,0,,,,catch,0,,0,0,2.0,,
12,1,True,0,13,0,18,1,,,,catch,0,,0,0,3.67,,
13,1,True,0,13,0,7,1,,,,catch,0,,0,0,2.29,,
14,1,True,1,12,1,3,1,,,,catch,0,,0,0,4.52,,
15,1,True,1,12,1,5,1,,,,catch,0,,0,0,1.77,,
16,1,True,0,11,1,7,0,,,,catch,0,,0,0,2.88,,
17,1,True,1,12,0,3,0,,,,catch,0,,0,0,3.52,,
18,1,True,0,13,1,5,0,,,,catch,0,,0,0,4.97,,
19,1,True,0,14,0,1,1,,,,catch,0,,0,0,2.05,,
20,1,True,0,14,1,2,0,,,,catch,0,,0,0,3.58,,
21,1,True,1,15,1,4,1,,,,catch,0,,0,0,2.86,,
22,1,True,1,15,1,5,1,,,,catch,0,,0,0,2.54,,
23,1,True,0,14,1,3,0,,,,catch,0,,0,0,2.66,,
24,1,True,1,15,1,7,1,,,,catch,0,,0,0,1.85,,
25,1,True,1,15,1,6,1,,,,catch,0,,0,0,2.25,,
26,1,True,1,14,1,8,1,,,,catch,0,,0,0,8.2,,
27,1,True,0,14,0,5,1,,,,catch,0,,0,0,2.86,,
28,1,True,0,13,1,8,0,,,,catch,0,,0,0,1.96,,
29,1,True,1,14,1,6,1,,,,catch,0,,0,0,1.65,,
30,1,True,0,14,1,7,0,,,,catch,0,,0,0,1.84,,
31,2,True,1,15,1,6,1,,,,catch,0,,0,0,2.97,,
32,2,True,1,15,1,8,1,,,,catch,0,,0,0,2.01,,
33,2,True,1,14,1,9,1,,,,catch,0,,0,0,1.87,,
34,2,True,0,14,0,2,1,,,,catch,0,,0,0,4.13,,
35,2,True,0,13,1,8,0,,,,catch,0,,0,0,2.48,,
36,2,True,1,14,1,7,1,,,,catch,0,,0,0,2.18,,
37,2,True,0,14,0,6,1,,,,catch,0,,0,0,2.44,,
38,2,True,1,13,1,7,1,,,,catch,0,,0,0,2.2,,
39,2,True,1,13,1,8,1,,,,catch,0,,0,0,1.96,,
40,2,True,1,12,1,6,1,,,,catch,0,,0,0,2.09,,
41,2,True,1,12,1,7,1,,,,catch,0,,0,0,3.06,,
42,2,True,0,11,1,8,0,,,,catch,0,,0,0,1.97,,
43,2,True,1,12,1,7,1,,,,catch,0,,0,0,1.98,,
44,2,True,0,12,1,16,0,,,,catch,0,,0,0,2.43,,
45,2,True,0,13,0,15,1,,,,catch,0,,0,0,1.94,,
46,2,True,0,13,1,8,0,,,,catch,0,,0,0,1.8,,
47,2,True,0,14,0,5,1,,,,catch,0,,0,0,2.97,,
48,2,True,0,14,1,4,0,,,,catch,0,,0,0,2.1,,
49,2,True,1,15,1,3,1,,,,catch,0,,0,0,1.85,,
50,2,True,0,15,1,2,0,,,,catch,0,,0,0,3.6,,
51,2,True,0,15,0,2,1,,,,catch,0,,0,0,2.04,,
52,2,True,0,15,1,9,0,,,,catch,0,,0,0,3.26,,
53,2,True,1,15,1,5,1,,,,catch,0,,0,0,3.38,,
54,2,True,1,15,1,12,1,,,,catch,0,,0,0,3.03,,
55,2,True,0,14,1,9,0,,,,catch,0,,0,0,2.05,,
56,2,True,0,15,0,11,1,,,,catch,0,,0,0,2.56,,
57,2,True,0,15,0,7,1,,,,catch,0,,0,0,1.89,,
58,2,True,1,14,0,2,0,,,,catch,0,,0,0,3.97,,
59,2,True,0,15,0,2,1,,,,catch,0,,0,0,1.99,,
60,2,True,1,15,1,6,1,,,,catch,0,,0,0,1.88,,
61,3,True,0,14,1,5,0,,,,catch,0,,0,0,2.53,,
62,3,True,1,15,1,4,1,,,,catch,0,,0,0,1.98,,
63,3,True,1,15,1,5,1,,,,catch,0,,0,0,2.67,,
64,3,True,0,14,0,4,1,,,,catch,0,,0,0,1.66,,
65,3,True,1,14,1,5,1,,,,catch,0,,0,0,1.74,,
66,3,True,0,13,1,4,0,,,,catch,0,,0,0,1.84,,
67,3,True,1,14,1,6,1,,,,catch,0,,0,0,1.83,,
68,3,True,0,14,0,6,1,,,,catch,0,,0,0,4.15,,
69,3,True,0,13,0,3,1,,,,catch,0,,0,0,1.62,,
70,3,True,1,13,1,9,1,,,,catch,0,,0,0,2.1,,
71,3,True,1,12,1,5,1,,,,catch,0,,0,0,1.99,,
72,3,True,1,12,1,8,1,,,,catch,0,,0,0,2.01,,
73,3,True,0,11,1,7,0,,,,catch,0,,0,0,2.0,,
74,3,True,1,12,1,16,1,,,,catch,0,,0,0,2.07,,
75,3,True,0,12,1,7,0,,,,catch,0,,0,0,1.69,,
76,3,True,1,13,1,9,1,,,,catch,0,,0,0,1.7,,
77,3,True,1,13,1,16,1,,,,catch,0,,0,0,2.17,,
78,3,True,1,12,1,15,1,,,,catch,0,,0,0,1.77,,
79,3,True,0,12,1,5,0,,,,catch,0,,0,0,2.52,,
80,3,True,1,13,1,4,1,,,,catch,0,,0,0,2.91,,
81,3,True,1,13,1,6,1,,,,catch,0,,0,0,1.56,,
82,3,True,1,12,1,5,1,,,,catch,0,,0,0,1.54,,
83,3,True,1,12,1,6,1,,,,catch,0,,0,0,1.87,,
84,3,True,1,11,1,2,1,,,,catch,0,,0,0,1.9,,
85,3,True,1,11,1,4,1,,,,catch,0,,0,0,1.49,,
86,3,True,0,10,1,3,0,,,,catch,0,,0,0,1.54,,
87,3,True,0,11,0,3,1,,,,catch,0,,0,0,2.66,,
88,3,True,1,11,1,5,1,,,,catch,0,,0,0,1.78,,
89,3,True,1,10,1,3,1,,,,catch,0,,0,0,1.85,,
90,3,True,1,10,1,3,1,,,,catch,0,,0,0,1.83,,
91,4,False,1,9,1,5,1,0,4,0,choice,1,0,0,0,7.06,8.23,13.82
92,4,False,0,9,1,3,0,0,3,1,choice,1,0,1,0,5.67,3.84,6.04
93,4,False,1,9,1,3,1,0,2,0,force,2,0,0,0,4.89,5.38,6.38
94,4,False,1,9,0,2,0,1,3,1,force,1,1,1,0,6.32,3.44,4.45
95,4,False,0,9,0,3,1,1,4,0,force,2,0,1,0,7.64,1.98,2.98
96,4,False,1,9,1,5,1,0,3,0,choice,2,0,0,0,5.47,1.82,5.15
97,4,False,1,9,1,4,1,0,2,0,choice,1,0,0,0,4.78,1.82,4.19
98,4,False,0,9,1,3,0,0,2,1,choice,1,0,1,0,3.46,1.84,4.0
99,4,False,1,9,1,3,1,0,2,0,choice,2,1,1,0,4.08,2.41,4.27
100,4,False,1,9,0,1,0,1,2,1,force,1,0,0,0,3.03,1.73,2.74
101,4,False,1,9,0,1,0,1,2,1,force,2,1,1,0,3.21,2.01,3.02
102,4,False,0,9,0,2,1,1,2,0,choice,2,0,1,0,3.04,2.31,4.84
103,4,False,1,9,0,8,0,1,3,1,choice,2,0,0,0,4.11,2.32,4.41
104,4,False,1,9,0,4,0,1,4,1,choice,2,0,0,0,2.2,1.86,3.9
105,4,False,1,9,0,3,0,1,3,1,force,1,0,0,0,1.81,3.36,4.37
106,4,False,1,9,0,14,0,1,6,1,choice,2,0,0,0,3.51,1.78,3.93
107,4,False,1,9,0,10,0,1,6,1,choice,2,0,0,0,1.74,1.83,4.03
108,4,False,0,9,0,5,1,1,5,0,choice,2,0,1,0,3.15,2.01,4.48
109,4,False,0,9,1,5,0,0,16,1,force,1,1,0,0,4.02,2.71,3.72
110,4,False,0,9,1,6,0,0,8,1,choice,1,1,0,0,2.41,1.66,3.7
111,4,False,0,9,0,14,1,1,6,0,choice,2,0,1,0,2.98,1.51,3.59
112,4,False,1,9,0,13,0,1,8,1,force,2,1,1,0,1.79,1.97,2.98
113,4,False,0,9,0,11,1,1,6,0,force,1,0,1,0,2.22,3.26,4.27
114,4,False,1,9,1,7,1,0,5,0,choice,2,0,0,0,2.14,2.07,7.29
115,4,False,1,9,0,8,0,1,5,1,choice,2,1,1,0,3.81,1.6,4.28
116,4,False,1,9,0,7,0,1,3,1,force,2,0,0,0,1.73,1.64,2.64
117,4,False,0,9,0,10,1,1,5,0,choice,2,1,0,0,1.73,1.64,3.88
118,4,False,1,9,0,17,0,1,8,1,choice,2,1,1,0,5.78,1.53,3.48
119,4,False,0,9,1,11,0,0,3,1,force,1,0,1,0,4.01,2.5,3.51
120,4,False,0,9,0,17,1,1,5,0,choice,2,0,1,0,2.18,1.8,4.12
121,4,False,1,9,0,7,0,1,9,1,force,2,0,0,0,1.89,1.66,2.66
122,4,False,0,9,1,10,0,0,5,1,choice,1,1,0,0,2.72,1.49,3.32
123,4,False,1,9,0,11,0,1,8,1,choice,2,1,1,0,1.64,2.04,4.1
124,4,False,1,9,0,5,0,1,7,1,force,2,0,0,0,2.14,2.04,3.05
125,4,False,1,9,0,7,0,1,5,1,choice,2,0,0,0,2.99,1.68,4.23
126,4,False,1,9,0,8,0,1,6,1,choice,1,1,1,0,2.79,1.93,3.99
127,4,False,1,9,0,6,0,1,7,1,choice,2,1,1,0,5.72,2.03,4.38
128,4,False,1,9,1,9,1,0,4,0,choice,2,1,1,0,1.9,1.61,4.16
129,4,False,1,9,1,16,1,0,5,0,choice,1,1,1,0,5.63,3.36,6.09
130,4,False,1,9,0,19,0,1,13,1,force,1,1,1,0,2.83,1.44,2.45
131,4,False,1,9,1,11,1,0,13,0,choice,1,0,0,0,4.75,2.09,4.79
132,4,False,1,9,0,14,0,1,12,1,choice,2,1,1,0,2.58,1.72,3.84
133,4,False,0,9,0,9,1,1,20,0,force,2,0,1,0,2.21,2.38,3.39
134,4,False,0,9,0,12,1,1,7,0,force,1,1,0,0,2.58,1.55,2.56
135,4,False,1,9,0,11,0,1,14,1,choice,2,0,0,0,2.07,2.38,4.07
136,4,False,0,9,0,6,1,1,9,0,choice,2,1,0,0,1.91,1.88,4.42
137,4,False,1,9,0,8,0,1,10,1,choice,2,0,0,0,1.91,1.93,4.14
138,4,False,0,9,0,13,1,1,10,0,force,2,1,0,0,1.77,1.84,2.84
139,4,False,0,9,0,11,1,1,10,0,force,1,0,1,0,4.0,2.05,3.06
140,4,False,1,9,0,3,0,1,8,1,force,2,1,1,0,2.19,2.0,3.01
141,4,False,0,9,0,8,1,1,9,0,force,1,0,1,0,1.73,1.54,2.54
142,4,False,0,9,0,9,1,1,10,0,choice,2,0,1,0,1.86,1.77,3.98
143,4,False,1,9,0,4,0,1,7,1,choice,1,0,0,0,2.19,2.11,4.82
144,4,False,1,9,0,9,0,1,8,1,choice,1,1,1,0,2.07,1.64,4.37
145,4,False,0,9,1,8,0,0,7,1,choice,2,1,0,0,1.81,2.18,4.22
146,4,False,1,9,0,9,0,1,9,1,choice,2,1,1,0,2.33,2.26,4.19
147,4,False,1,9,1,10,1,0,4,0,choice,1,1,1,0,1.52,1.92,4.33
148,4,False,0,9,0,12,1,1,8,0,choice,2,1,0,0,1.81,1.78,3.95
149,4,False,1,9,0,4,0,1,6,1,choice,2,0,0,0,2.12,1.91,3.97
150,4,False,0,9,0,7,1,1,6,0,choice,2,1,0,0,2.05,1.88,4.31
151,5,False,1,9,0,3,0,1,7,1,choice,2,1,1,0,2.28,3.57,5.86
152,5,False,0,9,0,6,1,1,6,0,choice,2,0,1,0,2.41,1.5,3.33
153,5,False,1,9,0,11,0,1,10,1,force,2,0,0,0,1.75,1.62,2.63
154,5,False,0,9,0,12,1,1,8,0,force,1,0,1,0,2.09,1.9,2.9
155,5,False,1,9,0,13,0,1,12,1,choice,2,0,0,0,1.72,1.73,4.04
156,5,False,1,9,0,5,0,1,7,1,choice,2,0,0,0,1.76,1.84,4.1
157,5,False,0,9,0,11,1,1,8,0,choice,2,0,1,0,1.68,2.55,4.48
158,5,False,1,9,1,6,1,0,9,0,force,2,1,1,0,2.61,2.15,3.16
159,5,False,0,9,0,9,1,1,7,0,choice,1,0,1,0,1.94,1.37,4.25
160,5,False,0,9,1,9,0,0,6,1,choice,2,1,0,0,1.41,1.87,4.82
161,5,False,0,9,0,8,1,1,7,0,choice,2,0,1,0,1.53,1.48,3.44
162,5,False,0,9,1,8,0,0,7,1,force,1,1,0,0,1.58,1.64,2.65
163,5,False,1,9,0,7,0,1,5,1,force,2,1,1,0,1.63,2.96,3.96
164,5,False,1,9,0,7,0,1,6,1,choice,2,0,0,0,2.02,1.84,3.69
165,5,False,1,9,0,6,0,1,5,1,force,1,1,1,0,1.56,2.0,3.01
166,5,False,0,9,0,9,1,1,7,0,choice,1,1,0,0,1.89,1.92,4.06
167,5,False,0,9,0,13,1,1,6,0,choice,2,1,0,0,2.1,1.54,3.54
168,5,False,0,9,0,10,1,1,10,0,choice,2,0,1,0,1.49,1.56,3.3
169,5,False,0,9,0,7,1,1,5,0,force,2,1,0,0,2.64,1.23,2.23
170,5,False,0,9,0,7,1,1,5,0,choice,2,0,1,0,1.66,1.52,5.14
171,5,False,1,9,0,6,0,1,7,1,choice,2,0,0,0,1.54,1.85,3.66
172,5,False,0,9,0,11,1,1,5,0,choice,2,1,0,0,2.02,1.65,3.98
173,5,False,1,9,0,6,0,1,9,1,choice,1,1,1,0,1.69,1.84,4.46
174,5,False,0,9,0,15,1,1,10,0,choice,2,1,0,0,1.73,1.5,3.51
175,5,False,0,9,0,3,1,1,4,0,choice,2,1,0,0,1.75,1.6,3.34
176,5,False,0,9,0,6,1,1,5,0,choice,2,0,1,0,1.51,1.7,3.74
177,5,False,1,9,0,15,0,1,9,1,choice,2,0,0,0,1.75,1.58,3.45
178,5,False,0,9,0,11,1,1,8,0,force,1,1,0,0,1.61,1.49,2.49
179,5,False,0,9,0,9,1,1,7,0,choice,1,0,1,0,1.88,1.32,3.53
180,5,False,0,9,0,7,1,1,10,0,force,2,1,0,0,1.92,1.94,2.94
181,5,False,0,9,0,10,1,1,12,0,force,1,0,1,0,1.93,1.37,2.38
182,5,False,0,9,0,13,1,1,11,0,force,2,0,1,0,1.85,1.74,2.74
183,5,False,1,9,0,12,0,1,9,1,choice,2,1,1,0,1.67,1.41,3.79
184,5,False,0,9,0,12,1,1,8,0,choice,2,1,0,0,1.65,1.67,3.88
185,5,False,0,9,0,8,1,1,8,0,choice,2,0,1,0,2.13,1.71,3.84
186,5,False,0,9,0,8,1,1,5,0,choice,2,0,1,0,2.69,2.54,4.63
