trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,11,0,,,,catch,0,0,,0,0,11.29,,
2,1,True,1,15,0,6,0,,,,catch,0,0,,0,0,4.41,,
3,1,True,0,15,1,22,0,,,,catch,0,0,,0,0,4.05,,
4,1,True,1,15,0,23,0,,,,catch,0,0,,0,0,3.31,,
5,1,True,0,15,0,34,1,,,,catch,0,0,,0,0,4.82,,
6,1,True,0,15,1,40,0,,,,catch,0,0,,0,0,3.65,,
7,1,True,1,15,1,37,1,,,,catch,0,0,,0,0,2.65,,
8,1,True,1,15,1,43,1,,,,catch,0,0,,0,0,3.5,,
9,1,True,1,14,1,43,1,,,,catch,0,0,,0,0,4.24,,
10,1,True,1,14,1,47,1,,,,catch,0,0,,0,0,2.49,,
11,1,True,1,13,0,36,0,,,,catch,0,0,,0,0,3.07,,
12,1,True,0,14,1,26,0,,,,catch,0,0,,0,0,2.43,,
13,1,True,1,15,1,18,1,,,,catch,0,0,,0,0,2.99,,
14,1,True,1,15,0,26,0,,,,catch,0,0,,0,0,3.27,,
15,1,True,1,15,1,44,1,,,,catch,0,0,,0,0,1.66,,
16,1,True,0,15,0,41,1,,,,catch,0,0,,0,0,1.95,,
17,1,True,0,14,0,39,1,,,,catch,0,0,,0,0,1.71,,
18,1,True,0,14,0,28,1,,,,catch,0,0,,0,0,2.86,,
19,1,True,1,13,1,43,1,,,,catch,0,0,,0,0,2.2,,
20,1,True,0,13,0,39,1,,,,catch,0,0,,0,0,2.27,,
21,1,True,0,12,1,43,0,,,,catch,0,0,,0,0,1.79,,
22,1,True,1,13,0,34,0,,,,catch,0,0,,0,0,1.67,,
23,1,True,1,14,1,39,1,,,,catch,0,0,,0,0,1.52,,
24,1,True,0,14,1,40,0,,,,catch,0,0,,0,0,1.51,,
25,1,True,1,15,1,43,1,,,,catch,0,0,,0,0,1.38,,
26,1,True,0,15,1,12,0,,,,catch,0,0,,0,0,2.1,,
27,1,True,0,15,1,41,0,,,,catch,0,0,,0,0,1.59,,
28,1,True,0,15,0,34,1,,,,catch,0,0,,0,0,1.71,,
29,1,True,1,15,1,45,1,,,,catch,0,0,,0,0,2.09,,
30,1,True,0,14,1,35,0,,,,catch,0,0,,0,0,2.51,,
31,2,True,1,15,1,40,1,,,,catch,0,0,,0,0,2.56,,
32,2,True,0,15,1,9,0,,,,catch,0,0,,0,0,8.49,,
33,2,True,1,15,1,43,1,,,,catch,0,0,,0,0,3.77,,
34,2,True,1,15,1,38,1,,,,catch,0,0,,0,0,3.52,,
35,2,True,0,14,0,41,1,,,,catch,0,0,,0,0,5.02,,
36,2,True,1,14,0,12,0,,,,catch,0,0,,0,0,8.75,,
37,2,True,1,15,1,34,1,,,,catch,0,0,,0,0,4.77,,
38,2,True,0,15,1,30,0,,,,catch,0,0,,0,0,2.36,,
39,2,True,0,15,1,38,0,,,,catch,0,0,,0,0,2.28,,
40,2,True,0,15,0,41,1,,,,catch,0,0,,0,0,3.13,,
41,2,True,0,15,0,25,1,,,,catch,0,0,,0,0,3.04,,
42,2,True,0,14,0,34,1,,,,catch,0,0,,0,0,2.15,,
43,2,True,1,14,0,20,0,,,,catch,0,0,,0,0,2.85,,
44,2,True,1,15,1,27,1,,,,catch,0,0,,0,0,2.02,,
45,2,True,0,15,1,34,0,,,,catch,0,0,,0,0,1.72,,
46,2,True,1,15,1,36,1,,,,catch,0,0,,0,0,1.39,,
47,2,True,0,15,0,39,1,,,,catch,0,0,,0,0,2.28,,
48,2,True,1,14,0,9,0,,,,catch,0,0,,0,0,10.55,,
49,2,True,0,15,0,41,1,,,,catch,0,0,,0,0,1.44,,
50,2,True,1,15,0,22,0,,,,catch,0,0,,0,0,1.59,,
51,2,True,0,15,0,39,1,,,,catch,0,0,,0,0,1.12,,
52,2,True,0,15,1,37,0,,,,catch,0,0,,0,0,2.31,,
53,2,True,1,15,1,44,1,,,,catch,0,0,,0,0,1.63,,
54,2,True,1,15,1,44,1,,,,catch,0,0,,0,0,1.62,,
55,2,True,1,14,1,48,1,,,,catch,0,0,,0,0,2.09,,
56,2,True,1,14,1,7,1,,,,catch,0,0,,0,0,1.86,,
57,2,True,0,13,0,47,1,,,,catch,0,0,,0,0,1.92,,
58,2,True,0,13,1,40,0,,,,catch,0,0,,0,0,1.9,,
59,2,True,1,14,1,17,1,,,,catch,0,0,,0,0,2.66,,
60,2,True,0,14,0,39,1,,,,catch,0,0,,0,0,1.77,,
61,3,True,0,13,0,42,1,,,,catch,0,0,,0,0,1.33,,
62,3,True,0,13,0,39,1,,,,catch,0,0,,0,0,1.38,,
63,3,True,0,12,0,44,1,,,,catch,0,0,,0,0,1.65,,
64,3,True,0,12,0,35,1,,,,catch,0,0,,0,0,1.49,,
65,3,True,1,11,0,41,0,,,,catch,0,0,,0,0,2.24,,
66,3,True,1,12,1,43,1,,,,catch,0,0,,0,0,1.99,,
67,3,True,0,12,0,39,1,,,,catch,0,0,,0,0,1.55,,
68,3,True,1,11,1,35,1,,,,catch,0,0,,0,0,1.11,,
69,3,True,0,11,1,35,0,,,,catch,0,0,,0,0,3.56,,
70,3,True,1,12,1,20,1,,,,catch,0,0,,0,0,2.05,,
